Comment,Designator,Footprint,LCSC
1k,"R21,R24,R27",R_0402_1005Metric,C11702
LM4040DBZ-2.5,U2,SOT-23,C131939
499k,R15,R_0402_1005Metric,C137971
10n,"C14,C16,C17,C2,C4,C5",C_0402_1005Metric,C15195
100n,"C10,C11,C12,C15",C_0402_1005Metric,C1525
D_Schottky_Small,"D1,D2,D3,D4",D_SOD-323,C191023
267r,R14,R_0402_1005Metric,C226381
32k4,R1,R_0402_1005Metric,C226993
100k,R29,R_0402_1005Metric,C25741
10k,"R10,R19,R30",R_0402_1005Metric,C25744
12k,"R22,R25,R28,R6",R_0402_1005Metric,C25752
15k,R18,R_0402_1005Metric,C25756
22k1,R16,R_0402_1005Metric,C25768
1k2,R5,R_0402_1005Metric,C25862
49k9,"R11,R12",R_0402_1005Metric,C25897
11k,"R7,R8",R_0603_1608Metric,C25950
TPS7A39,U1,Texas_DSC0010J,C2685819
10k,"R2,R3",R_0402_1005Metric,C2692697
267k,"R13,R17",R_0402_1005Metric,C270622
10 Pin IDC,J9,IDC-Header_2x05_P2.54mm_Vertical_SMD,C2843214
3n9 C0G,C13,C_0603_1608Metric,C415537
3k,"R20,R23,R26,R9",R_0603_1608Metric,C4211
470p C0G,"C18,C19,C20",C_0402_1005Metric,C76971
5k**,"RV1,RV2",Potentiometer_Bourns_3224W_Vertical,C81349
42k2,R4,R_0402_1005Metric,C852782
10u,"C1,C3,C6,C7,C8,C9",C_0603_1608Metric,C96446
TL074,U3,TSSOP-14_4.4x5mm_P0.65mm,C96507
3.5mm,J7,PJ-301BM_disconnect,
3.5mm,J6,PJ-301BM_disconnect,
SSI2131,U4,SOP-16_4.55x10.3mm_P1.27mm,
3.5mm,J2,PJ-301BM,
3.5mm,J1,PJ-301BM,
5k,RV5,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_Bodge,
5k,RV3,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_Bodge,
3.5mm,J3,PJ-301BM,
3.5mm,J5,PJ-301BM_disconnect,
3.5mm,J4,PJ-301BM_disconnect,
3.5mm,J8,PJ-301BM_disconnect,
5k,RV4,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical_Bodge,
MountingHole,H4,MountingHole_3.2mm_M3,
MountingHole,H3,MountingHole_3.2mm_M3,
MountingHole,H2,MountingHole_3.2mm_M3,
MountingHole,H1,MountingHole_3.2mm_M3,
